Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.822","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.796","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","3.76","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.496","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.964","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.493","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.699","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.979","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.132","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","35.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","33.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","31.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","30.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","14.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","14.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","13.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","13.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.327","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.293","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.352","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.534","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.839","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.011","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.395","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.199","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.717","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.166","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","92.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","93.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","93.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","94.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","27.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","28.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","29.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","31","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.717","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.778","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.647","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.328","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.019","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.811","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.134","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.112","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.302","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.391","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.504","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.604","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.682","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.429","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.279","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","1.003","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.115","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.341","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.463","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.669","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.656","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.703","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.733","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.117","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","11","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","4.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.096","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.166","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.237","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","3.247","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.537","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.973","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.541","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.433","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.488","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.123","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","40.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","41.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","43.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","42.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","1.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","1.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","1.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","1.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.418","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.62","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.907","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.138","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.797","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.718","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.407","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.907","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.475","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.115","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","2.259","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","2.273","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","2.325","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","2.561","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.221","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.458","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.249","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.597","E","Estimated value"
