"speccode","species","fbname"
6630,"Abudefduf vaigiensis","Indo-Pacific sergeant"
9626,"Abudefduf whitleyi","Whitley's sergeant"
14532,"Acanthaluteres brownii","Spiny-tailed leatherjacket"
51356,"Acanthaluteres spilomelanurus","Bridled leatherjacket"
14550,"Acanthaluteres vittiger","Toothbrush leatherjacket"
3708,"Acanthemblemaria aspera","Roughhead blenny"
25510,"Acanthemblemaria castroi","Galapagos barnacle blenny"
46704,"Acanthemblemaria crockeri","Browncheek blenny"
46709,"Acanthemblemaria exilispinus","Bluntspine blenny"
46714,"Acanthemblemaria hancocki","Hancock's blenny"
46717,"Acanthemblemaria macrospilus","Barnacle blenny"
16485,"Acanthemblemaria maria","Secretary blenny"
16486,"Acanthemblemaria spinosa","Spinyhead blenny"
12690,"Acanthistius cinctus","Yellowbanded perch"
59850,"Acanthistius fuscus","Rapanui seabass"
15036,"Acanthistius ocellatus","Eastern wirrah"
15038,"Acanthistius pardalotus","Leopard wirrah"
50141,"Acanthistius patachonicus", 
7920,"Acanthistius sebastoides","Koester"
15042,"Acanthistius serratus","Western wirrah"
6655,"Acanthochromis polyacanthus","Spiny chromis"
89,"Acanthocybium solandri","Wahoo"
8109,"Acanthopagrus australis","Yellowfin bream"
5526,"Acanthopagrus berda","Goldsilk seabream"
4543,"Acanthopagrus bifasciatus","Twobar seabream"
6356,"Acanthopagrus latus","Yellowfin seabream"
6531,"Acanthopagrus schlegelii","Blackhead seabream"
4287,"Acanthostracion polygonius","Honeycomb cowfish"
92,"Acanthostracion quadricornis","Scrawled cowfish"
4306,"Acanthurus achilles","Achilles tang"
13770,"Acanthurus albipectoralis","Whitefin surgeonfish"
4748,"Acanthurus auranticavus","Orange-socket surgeonfish"
68792,"Acanthurus bahianus","Barber surgeonfish"
4307,"Acanthurus bariene","Black-spot surgeonfish"
4750,"Acanthurus blochii","Ringtail surgeonfish"
943,"Acanthurus chirurgus","Doctorfish"
944,"Acanthurus coeruleus","Blue tang surgeonfish"
1256,"Acanthurus dussumieri","Eyestripe surgeonfish"
4745,"Acanthurus fowleri","Fowler's surgeonfish"
17471,"Acanthurus gahhm","Black surgeonfish"
4749,"Acanthurus grammoptilus","Finelined surgeonfish"
4736,"Acanthurus guttatus","Whitespotted surgeonfish"
23375,"Acanthurus japonicus","Japan surgeonfish"
4741,"Acanthurus leucocheilus","Palelipped surgeonfish"
4737,"Acanthurus leucopareius","Whitebar surgeonfish"
1257,"Acanthurus leucosternon","Powderblue surgeonfish"
1258,"Acanthurus lineatus","Lined surgeonfish"
4746,"Acanthurus maculiceps","White-freckled surgeonfish"
1800,"Acanthurus monroviae","Monrovia doctorfish"
6011,"Acanthurus nigricans","Whitecheek surgeonfish"
4747,"Acanthurus nigricauda","Epaulette surgeonfish"
4739,"Acanthurus nigrofuscus","Brown surgeonfish"
4738,"Acanthurus nigroris","Bluelined surgeonfish"
4733,"Acanthurus nubilus","Bluelined surgeon"
4744,"Acanthurus olivaceus","Orangespot surgeonfish"
4742,"Acanthurus pyroferus","Chocolate surgeonfish"
58792,"Acanthurus reversus", 
4740,"Acanthurus sohal","Sohal surgeonfish"
1259,"Acanthurus tennentii","Doubleband surgeonfish"
4734,"Acanthurus thompsoni","Thompson's surgeonfish"
942,"Acanthurus tractus","Ocean surgeonfish"
1260,"Acanthurus triostegus","Convict surgeonfish"
12782,"Acanthurus tristis","Indian Ocean mimic surgeonfish"
1261,"Acanthurus xanthopterus","Yellowfin surgeonfish"
23581,"Acentrogobius janthinopterus","Robust mangrove goby"
7228,"Acentrogobius nebulosus","Shadow goby"
13429,"Achirus klunzingeri","Brown sole"
4256,"Achirus lineatus","Lined sole"
14420,"Achoerodus gouldii","Western blue groper"
50808,"Achoerodus viridis","Eastern blue groper"
4683,"Acipenser baerii","Siberian sturgeon"
4712,"Acipenser gueldenstaedtii","Danube sturgeon"
2592,"Acipenser medirostris","Green sturgeon"
4604,"Acipenser ruthenus","Sterlet sturgeon"
2065,"Acipenser stellatus","Starry sturgeon"
2066,"Acipenser sturio","Sturgeon"
2594,"Acipenser transmontanus","White sturgeon"
7849,"Acreichthys tomentosus","Bristle-tail file-fish"
3073,"Acyrtops beryllinus","Emerald clingfish"
16677,"Acyrtus rubiginosus","Red clingfish"
6503,"Aeoliscus strigatus","Razorfish"
12086,"Aetapcus maculatus","Warty prowfish"
52422,"Afurcagobius tamarensis","Tamar River goby"
36,"Agonus cataphractus","Hooknose"
2633,"Ahlia egmontis","Key worm eel"
59225,"Aioliops megastigma","Bigspot minidartfish"
27609,"Aioliops novaeguineae","New guinea minidartfish"
11512,"Albula glossodonta","Roundjaw bonefish"
228,"Albula vulpes","Bonefish"
988,"Alectis ciliaris","African pompano"
10,"Alectis indica","Indian threadfish"
1889,"Alepes djedaba","Shrimp scad"
1903,"Alepes kleinii","Razorbelly scad"
1891,"Alepes vari","Herring scad"
99,"Alepisaurus ferox","Long snouted lancetfish"
5071,"Alepocephalus rostratus","Risso's smooth-head"
64965,"Alionematichthys piger","Whiskered viviparous brotula"
27338,"Alionematichthys riukiuensis","Bigeye cusk"
3710,"Alloclinus holderi","Island kelpfish"
12962,"Allocyttus niger","Black oreo"
14573,"Allomycterus pilatus","Deep-water burrfish"
91,"Allothunnus fallai","Slender tuna"
2534,"Alopias superciliosus","Bigeye thresher"
2535,"Alopias vulpinus","Thresher"
1574,"Alosa aestivalis","Blueback shad"
1577,"Alosa caspia","Caspian shad"
1582,"Alosa mediocris","Hickory shad"
1583,"Alosa pseudoharengus","Alewife"
8726,"Alphestes afer","Mutton hamlet"
8727,"Alphestes immaculatus","Pacific mutton hamlet"
1081,"Aluterus schoepfii","Orange filefish"
4275,"Aluterus scriptus","Scribbled leatherjacket filefish"
6672,"Amanses scopas","Broom filefish"
11783,"Ambassis buruensis","Buru glass perchlet"
15126,"Ambassis jacksoniensis","Port Jackson glassfish"
5829,"Amblycirrhitus bimacula","Twospot hawkfish"
3655,"Amblycirrhitus pinos","Redspotted hawkfish"
7229,"Amblyeleotris fasciata","Red-banded prawn-goby"
6671,"Amblyeleotris guttata","Spotted prawn-goby"
11614,"Amblyeleotris gymnocephala","Masked shrimpgoby"
6520,"Amblyeleotris japonica", 
7231,"Amblyeleotris periophthalma","Periophthalma prawn-goby"
7232,"Amblyeleotris randalli","Randall's prawn-goby"
7195,"Amblyeleotris steinitzi","Steinitz' prawn-goby"
12699,"Amblyeleotris sungami","Magnus' prawn-goby"
7196,"Amblyeleotris wheeleri","Gorgeous prawn-goby"
5690,"Amblyglyphidodon aureus","Golden damselfish"
54180,"Amblyglyphidodon batunai","Batuna's damselfish"
5477,"Amblyglyphidodon curacao","Staghorn damselfish"
11834,"Amblyglyphidodon flavilatus","Yellowfin damsel"
61068,"Amblyglyphidodon indicus","Maldives damselfish"
5691,"Amblyglyphidodon leucogaster","Yellowbelly damselfish"
61069,"Amblyglyphidodon melanopterus", 
61113,"Amblyglyphidodon orbicularis", 
5692,"Amblyglyphidodon ternatensis","Ternate damsel"
6675,"Amblygobius albimaculatus","Butterfly goby"
56800,"Amblygobius buanensis","Buan goby"
55505,"Amblygobius bynoensis","Bynoe goby"
7197,"Amblygobius decussatus","Orange-striped goby"
7243,"Amblygobius nocturnus","Nocturn goby"
7198,"Amblygobius phalaena","Whitebarred goby"
25417,"Amblygobius semicinctus","Halfbarred goby"
7199,"Amblygobius sphynx","Sphinx goby"
9721,"Amblypomacentrus breviceps","Black-banded demoiselle"
6953,"Amblyraja georgiana","Antarctic starry skate"
9256,"Amblyraja hyperborea","Arctic skate"
8071,"Amblyrhynchotes honckenii","Evileye blaasop"
3820,"Ammodytes americanus","American sand lance"
37,"Ammodytes marinus","Lesser sand-eel"
487,"Ammodytes personatus","Pacific sandlance"
954,"Amphiarius phrygiatus","Kukwari sea catfish"
12529,"Amphichaetodon howensis","Lord Howe Island butterflyfish"
967,"Amphichthys cryptocentrus","Bocon toadfish"
8017,"Amphiprion akallopisos","Skunk clownfish"
11959,"Amphiprion akindynos","Barrier reef anemonefish"
11836,"Amphiprion allardi","Twobar anemonefish"
11837,"Amphiprion bicinctus","Twoband anemonefish"
4551,"Amphiprion chrysopterus","Orangefin anemonefish"
5448,"Amphiprion clarkii","Yellowtail clownfish"
11840,"Amphiprion ephippium","Saddle anemonefish"
6522,"Amphiprion frenatus","Tomato clownfish"
11842,"Amphiprion fuscocaudatus","Seychelles anemonefish"
9206,"Amphiprion latezonatus","Wide-band Anemonefish"
9207,"Amphiprion leucokranos","Whitebonnet anemonefish"
9208,"Amphiprion mccullochi","Whitesnout anemonefish"
4654,"Amphiprion melanopus","Fire clownfish"
7809,"Amphiprion nigripes","Maldive anemonefish"
6509,"Amphiprion ocellaris","Clown anemonefish"
9209,"Amphiprion percula","Orange clownfish"
2024,"Amphiprion perideraion","Pink anemonefish"
8086,"Amphiprion polymnus","Saddleback clownfish"
9212,"Amphiprion rubrocinctus","Red Anemonefish"
6523,"Amphiprion sandaracinos","Yellow clownfish"
3623,"Amphistichus koelzi","Calico surfperch"
14271,"Amsichthys knighti","Bugeye dottyback"
8178,"Anacanthus barbatus","Bearded leatherjacket"
4888,"Anampses caeruleopunctatus","Bluespotted wrasse"
4919,"Anampses chrysocephalus","Red tail wrasse"
4916,"Anampses cuvier","Pearl wrasse"
4918,"Anampses elegans","Elegant wrasse"
4892,"Anampses femininus","Blue-striped orange tamarin"
4891,"Anampses geographicus","Geographic wrasse"
4917,"Anampses lennardi","Blue-and-yellow wrasse"
7800,"Anampses lineatus","Lined wrasse"
5622,"Anampses melanurus","White-spotted wrasse"
4889,"Anampses meleagrides","Spotted wrasse"
4890,"Anampses neoguinaicus","New Guinea wrasse"
4893,"Anampses twistii","Yellowbreasted wrasse"
58622,"Anarchias leucurus","Snyder's moray"
6485,"Anarchias seychellensis","Seychelles moray"
2608,"Anarchias similis","Pygmy moray"
3810,"Anarhichas denticulatus","Northern wolffish"
3811,"Anarhichas minor","Spotted wolffish"
3813,"Anarrhichthys ocellatus","Wolf-eel"
1684,"Anchoa choerostoma","Bermuda anchovy"
1132,"Anchoa lyolepis","Shortfinger anchovy"
925,"Anchoa marinii","Marini's anchovy"
545,"Anchoa mitchilli","Bay anchovy"
1163,"Anchoa nasus","Longnose anchovy"
538,"Anchoa spinifer","Spicule anchovy"
13701,"Anisotremus caesius","Silvergrey grunt"
8253,"Anisotremus interruptus","Burrito grunt"
8255,"Anisotremus scapularis","Peruvian grunt"
1123,"Anisotremus surinamensis","Black margate"
13703,"Anisotremus taeniatus","Panama porkfish"
1124,"Anisotremus virginicus","Porkfish"
1619,"Anodontostoma chacunda","Chacunda gizzard shad"
7184,"Anomalops katoptron","Splitfin flashlightfish"
14558,"Anoplocapros amygdaloides","Western smooth boxfish"
14559,"Anoplocapros inermis","Eastern smooth boxfish"
14560,"Anoplocapros lenticularis","White-barred boxfish"
7293,"Antennarius commerson","Commerson's frogfish"
8074,"Antennarius hispidus","Shaggy angler"
3084,"Antennarius multiocellatus","Longlure frogfish"
3086,"Antennarius pauciradiatus","Dwarf frogfish"
10276,"Antennarius pictus","Painted frogfish"
5474,"Antennarius striatus","Striated frogfish"
5402,"Antennatus coccineus","Scarlet frogfish"
7294,"Antennatus dorehensis","New Guinean frogfish"
5403,"Antennatus nummifer","Spotfin frogfish"
13451,"Antennatus sanguineus","Bloody frogfish"
11150,"Antennatus tuberosus","Tuberculated frogfish"
1692,"Anthias anthias","Swallowtail seaperch"
2005,"Antimora rostrata","Blue antimora"
4922,"Anyperodon leucogrammicus","Slender grouper"
8540,"Aphanopus intermedius","Intermediate scabbardfish"
81,"Aphareus furca","Small toothed jobfish"
83,"Aphareus rutilans","Rusty jobfish"
39,"Aphia minuta","Transparent goby"
52225,"Aploactisoma milesii","Southern velvetfish"
47003,"Aplodactylus arctidens","Marblefish"
27509,"Aplodactylus etheridgii","Notchheaded marblefish"
52462,"Aplodactylus lophodon","Rock cale"
12909,"Aplodactylus punctatus", 
15712,"Aplodactylus westralis","Western seacarp"
25507,"Apogon atradorsatus","Blacktip cardinalfish"
46600,"Apogon atricaudus","Plain cardinalfish"
3521,"Apogon aurolineatus","Bridle cardinalfish"
3522,"Apogon binotatus","Barred cardinalfish"
63429,"Apogon campbelli", 
58152,"Apogon caudicinctus","Little tailband cardinalfish"
5752,"Apogon coccineus","Ruby cardinalfish"
12992,"Apogon crassiceps","Transparent cardinalfish"
60364,"Apogon dianthus", 
5753,"Apogon doryssa","Longspine cardinalfish"
8256,"Apogon dovii","Tailspot cardinalfish"
12998,"Apogon erythrinus","Hawaiian ruby cardinalfish"
3524,"Apogon lachneri","Whitestar cardinalfish"
3526,"Apogon maculatus","Flamefish"
25508,"Apogon pacificus","Pink cardinalfish"
3527,"Apogon phenax","Mimic cardinalfish"
3529,"Apogon planifrons","Pale cardinalfish"
3530,"Apogon pseudomaculatus","Twospot cardinalfish"
3531,"Apogon quadrisquamatus","Sawcheek cardinalfish"
46598,"Apogon retrosella","Barspot cardinalfish"
63902,"Apogon seminigracaudus","Darktail cardinalfish"
8008,"Apogon semiornatus","Oblique-banded cardinalfish"
12906,"Apogon talboti","Flame cardinalfish"
3532,"Apogon townsendi","Belted cardinalfish"
23741,"Apogon unicolor","Big red cardinalfish"
5749,"Apogonichthyoides melas","Black cardinalfish"
8012,"Apogonichthyoides nigripinnis","Bullseye"
26632,"Apogonichthyoides pseudotaeniatus","Doublebar cardinalfish"
12658,"Apogonichthyoides timorensis","Timor cardinalfish"
5740,"Apogonichthys ocellatus","Ocellated cardinalfish"
5741,"Apogonichthys perdix","Perdix cardinalfish"
7811,"Apolemichthys arcuatus","Bandit angelfish"
8772,"Apolemichthys griffisi","Griffis angelfish"
6525,"Apolemichthys trimaculatus","Threespot angelfish"
10938,"Apolemichthys xanthopunctatus","Goldspotted angelfish"
10940,"Apolemichthys xanthotis","Yellow-ear angelfish"
14996,"Aporops bilinearis","Blotched podge"
86,"Apsilus fuscus","African forktail snapper"
15384,"Aptychotrema rostrata","Eastern shovelnose ray"
14561,"Aracana aurita","Striped cowfish"
14562,"Aracana ornata","Ornate cowfish"
60358,"Archamia bleekeri","Gon's cardinalfish"
441,"Archosargus probatocephalus","Sheepshead"
1219,"Archosargus rhomboidalis","Western Atlantic seabream"
1872,"Arctogadus glacialis","Arctic cod"
463,"Arctoscopus japonicus","Japanese sandfish"
52434,"Arenigobius frenatus","Halfbridled goby"
2700,"Argentina silus","Greater argentine"
20,"Argentina sphyraena","Argentine"
442,"Argyrops spinifer","King soldier bream"
418,"Argyrosomus regius","Meagre"
443,"Argyrozona argyrozona","Carpenter seabream"
 ,"Ariomma indicum", 
947,"Ariopsis felis","Hardhead sea catfish"
1744,"Ariosoma balearicum","Bandtooth conger"
13603,"Ariosoma gilberti","Gilbert's garden eel"
7672,"Ariosoma scheelei","Tropical conger"
52437,"Arnoglossus bassensis","Bass Strait flounder"
41,"Arnoglossus laterna","Mediterranean scaldfish"
13051,"Arothron caeruleopunctatus","Blue-spotted puffer"
25413,"Arothron diadematus","Masked puffer"
5425,"Arothron hispidus","White-spotted puffer"
7188,"Arothron immaculatus","Immaculate puffer"
7187,"Arothron manilensis","Narrow-lined puffer"
7857,"Arothron mappa","Map puffer"
6401,"Arothron meleagris","Guineafowl puffer"
6400,"Arothron nigropunctatus","Blackspotted puffer"
6594,"Arothron reticularis","Reticulated pufferfish"
6526,"Arothron stellatus","Stellate puffer"
 ,"Arripis georgianus", 
14606,"Arripis truttacea","Western Australian salmon"
58685,"Arripis xylabion","Northern kahawai"
7065,"Artedidraco mirus", 
4047,"Artedius harringtoni","Scalyhead sculpin"
22522,"Aseraggodes melanostictus","Mottled sole"
51505,"Aspasmogaster tasmaniensis","Tasmanian clingfish"
6065,"Aspidontus dussumieri","Lance blenny"
6066,"Aspidontus taeniatus","False cleanerfish"
8040,"Aspidontus tractus", 
956,"Aspistor quadriscutis","Bressou sea catfish"
14960,"Assessor flavissimus","Yellow devilfish"
12827,"Assessor macneilli","Blue devilfish"
23439,"Assessor randalli", 
15009,"Assiculus punctatus", 
8123,"Asterorhombus intermedius","Intermediate flounder"
59956,"Asterropteryx atripes","Yano’s starry goby"
7247,"Asterropteryx ensifera","Miller's damsel"
7200,"Asterropteryx semipunctata","Starry goby"
25421,"Asterropteryx spinosa","Eyebar spiny goby"
58618,"Asterropteryx striata", 
3533,"Astrapogon alutus","Bronze cardinalfish"
3534,"Astrapogon puncticulatus","Blackfin cardinalfish"
3535,"Astrapogon stellatus","Conchfish"
3703,"Astroscopus guttatus","Northern stargazer"
 ,"Astroscopus y-graecum", 
14261,"Astroscopus zephyreus","Pacific stargazer"
788,"Asymbolus analis","Grey spotted catshark"
518,"Atheresthes evermanni","Kamchatka flounder"
45,"Atherina presbyter","Sand smelt"
13511,"Atherinella eriarcha","Longfin silverside"
5228,"Atherinomorus endrachtensis","Eendracht Land silverside"
1303,"Atherinomorus lacunosus","Wide-banded hardyhead silverside"
3234,"Atherinomorus stipes","Hardhead silverside"
61247,"Atherinomorus vaigiensis","Ogilby's hardyhead"
7302,"Atherion elymus","Bearded silverside"
420,"Atractoscion aequidens","Geelbeck croaker"
3578,"Atractoscion nobilis","White weakfish"
941,"Atrobucca nibe","Blackmouth croaker"
7559,"Atrosalarias holomelas","Brown coral blenny"
1893,"Atule mate","Yellowtail scad"
12227,"Atypichthys latus","Eastern footballer"
52460,"Atypichthys strigatus","Australian mado"
55254,"Auchenionchus variolosus", 
7701,"Aulacocephalus temminckii","Goldribbon soapfish"
795,"Aulohalaelurus labiosus", 
3270,"Aulorhynchus flavidus","Tube-snout"
1309,"Aulostomus chinensis","Chinese trumpetfish"
964,"Aulostomus maculatus","Trumpetfish"
9160,"Aulostomus strigosus","Atlantic cornetfish"
527,"Austroglossus microlepis","West coast sole"
528,"Austroglossus pectoralis","Mud sole"
47036,"Austrolabrus maculatus", 
46950,"Awaous tajasica","Sand fish"
46547,"Axoclinus lucillae","Panama triplefin"
958,"Bagre bagre","Coco sea catfish"
959,"Bagre marinus","Gafftopsail sea catfish"
1165,"Bairdiella chrysoura","Silver perch"
1166,"Bairdiella ronchus","Ground croaker"
6025,"Balistapus undulatus","Orange-lined triggerfish"
4276,"Balistes polylepis","Finescale triggerfish"
19,"Balistes vetula","Queen triggerfish"
2300,"Balistoides conspicillum","Clown triggerfish"
6026,"Balistoides viridescens","Titan triggerfish"
5188,"Barbodes katolo", 
4318,"Barbourisia rufa","Velvet whalefish"
3834,"Barbulifer ceuthoecus","Bearded goby"
8258,"Bathygobius andrei", 
25423,"Bathygobius coalitus","Whitespotted frillgoby"
7202,"Bathygobius cocosensis","Cocos frill-goby"
7249,"Bathygobius cotticeps","Cheekscaled frill-goby"
11801,"Bathygobius cyclopterus","Spotted frillgoby"
7201,"Bathygobius fuscus","Dusky frillgoby"
55527,"Bathygobius krefftii","Krefft's frillgoby"
17045,"Bathygobius laddi","Brownboy goby"
3837,"Bathygobius soporator","Frillfin goby"
6948,"Bathyraja eatonii","Eaton's skate"
6949,"Bathyraja irrasa","Kerguelen sandpaper skate"
6952,"Bathyraja murrayi","Murray's skate"
12676,"Bathystethus cultratus","Grey knifefish"
6381,"Bathytoshia brevicaudata","Short-tail stingray"
27065,"Bathytoshia lata","Brown stingray"
4014,"Bellator militaris","Horned searobin"
9230,"Belonepterygion fasciolatum","Barred spiny basslet"
12622,"Belonoperca chabanaudi","Arrowhead soapfish"
6974,"Benthalbella elongata", 
1319,"Beryx decadactylus","Alfonsino"
1320,"Beryx splendens","Splendid alfonsino"
7569,"Blenniella bilitonensis","Biliton blenniella"
27178,"Blenniella caudolineata","Blue-spotted blenny"
6047,"Blenniella chrysospilos","Red-spotted blenny"
7871,"Blenniella gibbifrons","Hump-headed blenny"
27180,"Blenniella interrupta","Dashed-line blenny"
27183,"Blenniella paula","Bluedash rockskipper"
6051,"Blenniella periophthalmus","Blue-dashed rockskipper"
4414,"Blennodesmus scapularis","Ocellate eel blenny"
66314,"Bodianus albotaeniatus", 
5497,"Bodianus anthioides","Lyretail hogfish"
5498,"Bodianus axillaris","Axilspot hogfish"
6580,"Bodianus bilunulatus","Tarry hogfish"
5500,"Bodianus diana","Diana's hogfish"
64242,"Bodianus dictynna","Redfin hogfish"
8270,"Bodianus diplotaenia","Mexican hogfish"
8272,"Bodianus eclancheri","Harlequin wrasse"
52463,"Bodianus frenchii","Foxfish"
12744,"Bodianus loxozonus","Blackfin hogfish"
14330,"Bodianus macrognathos","Giant hogfish"
14334,"Bodianus macrourus","Black-banded hogfish"
5501,"Bodianus mesothorax","Splitlevel hogfish"
25754,"Bodianus opercularis","Blackspot hogfish"
7734,"Bodianus perditio","Golden-spot hogfish"
46474,"Bodianus prognathus", 
1066,"Bodianus pulchellus","Spotfin hogfish"
1067,"Bodianus rufus","Spanish hogfish"
13800,"Bodianus scrofa","Barred hogfish"
27512,"Bodianus unimaculatus","Red pigfish"
5537,"Bolbometopon muricatum","Green humphead parrotfish"
8273,"Bollmannia chlamydes", 
5527,"Boopsoidea inornata","Fransmadam"
319,"Boreogadus saida","Polar cod"
5098,"Borostomias antarcticus","Snaggletooth"
24009,"Bothragonus occidentalis", 
13556,"Bothus leopardinus","Pacific leopard flounder"
978,"Bothus lunatus","Plate fish"
7641,"Bothus mancus","Flowery flounder"
1322,"Bothus myriaster","Indo-Pacific oval flounder"
4207,"Bothus ocellatus","Eyed flounder"
1321,"Bothus pantherinus","Leopard flounder"
51514,"Bovichtus angustifrons", 
59307,"Bovichtus argentinus", 
56284,"Bovichtus chilensis", 
5892,"Brachaelurus waddi","Blind shark"
14534,"Brachaluteres jacksonianus","Pigmy leatherjacket"
22547,"Brachaluteres taylori","Taylor's inflator filefish"
400,"Brachydeuterus auritus","Bigeye grunt"
3625,"Brachyistius frenatus","Kelp perch"
12887,"Brachysomophis crocodilinus","Crocodile snake eel"
54793,"Brama australis","Southern rays bream"
1588,"Brevoortia gunteri","Finescale menhaden"
1589,"Brevoortia patronus","Gulf menhaden"
1590,"Brevoortia pectinata","Argentine menhaden"
1591,"Brevoortia smithi","Yellowfin menhaden"
1592,"Brevoortia tyrannus","Atlantic menhaden"
3734,"Brockius nigricinctus","Spotcheek blenny"
51,"Brosme brosme","Cusk"
7299,"Brosmophyciops pautzkei","Slimy cuskeel"
486,"Brotula barbata","Bearded brotula"
8275,"Brotula clarkae","Pacific bearded brotula"
7203,"Bryaninops amplus","Large whip goby"
7204,"Bryaninops erythrops","Erythrops goby"
52430,"Bryaninops loki","Loki whip-goby"
7205,"Bryaninops natans","Redeye goby"
56122,"Bryaninops nexus","Upside-down goby"
7251,"Bryaninops yongei","Whip coral goby"
53,"Buglossidium luteum","Solenette"
7252,"Cabillus tongarevae","Tongareva goby"
918,"Caesio caerulaurea","Blue and gold fusilier"
919,"Caesio cuning","Redbelly yellowtail fusilier"
920,"Caesio lunaris","Lunar fusilier"
921,"Caesio striata","Striated fusilier"
922,"Caesio suevica","Suez fusilier"
923,"Caesio teres","Yellow and blueback fusilier"
924,"Caesio varilineata","Variable-lined fusilier"
927,"Caesio xanthonota","Yellowback fusilier"
14350,"Caesioperca lepidoptera","Butterfly perch"
14352,"Caesioperca rasor","Barber perch"
15047,"Caesioscorpis theagenes","Blowhole perch"
9931,"Caffrogobius nudiceps","Barehead goby"
1220,"Calamus arctifrons","Grass porgy"
1221,"Calamus bajonado","Jolthead porgy"
3573,"Calamus brachysomus","Pacific porgy"
1222,"Calamus calamus","Saucereye porgy"
1225,"Calamus leucosteus","Whitebone porgy"
1226,"Calamus nodosus","Knobbed porgy"
1227,"Calamus penna","Sheepshead porgy"
1228,"Calamus pennatula","Pluma porgy"
1229,"Calamus proridens","Littlehead porgy"
8104,"Calamus taurinus","Galapagos porgy"
14577,"Callanthias allporti","Splendid sea perch"
15302,"Callanthias australis","Magnificent splendid perch"
12888,"Callechelys catostoma","Black-striped snake eel"
12889,"Callechelys marmorata","Marbled snake eel"
55255,"Calliclinus geniguttatus", 
3824,"Callionymus bairdi","Lancer dragonet"
17468,"Callionymus enneactis","Mangrove dragonet"
23,"Callionymus lyra","Dragonet"
1807,"Callionymus maculatus", 
17470,"Callionymus simplicicornis","Simple-spined dragonet"
52418,"Callogobius depressus","Flathead goby"
7255,"Callogobius hasseltii","Hasselt's goby"
7206,"Callogobius maculipinnis","Ostrich goby"
52419,"Callogobius mucosus","Sculptured goby"
7257,"Callogobius sclateri","Pacific goby"
12655,"Calloplesiops altivelis","Comet"
167,"Callorhinchus capensis","Cape elephantfish"
4722,"Callorhinchus milii","Ghost shark"
4356,"Calotomus japonicus","Japanese parrotfish"
4357,"Calotomus spinidens","Spinytooth parrotfish"
4358,"Calotomus viridescens","Viridescent parrotfish"
4359,"Calotomus zonarchus","Yellowbar parrot"
13765,"Calumia godeffroyi","Tailface sleeper"
1894,"Campogramma glaycos","Vadigo"
17304,"Candidia barbata", 
5836,"Cantherhines dumerilii","Whitespotted filefish"
7842,"Cantherhines fronticinctus","Spectacled filefish"
54607,"Cantherhines longicaudus", 
4277,"Cantherhines macrocerus","American whitespotted filefish"
1082,"Cantherhines pullus","Orangespotted filefish"
54610,"Cantherhines rapanui","Rapanui filefish"
7835,"Cantherhines sandwichiensis","Sandwich isle file"
12601,"Cantherhines verecundus","Shy filefish"
13778,"Cantheschenia grandisquamis","Large-scaled leatherjacket"
4278,"Canthidermis maculata","Rough triggerfish"
4279,"Canthidermis sufflamen","Ocean triggerfish"
7840,"Canthigaster amboinensis","Spider-eye puffer"
65366,"Canthigaster axiologus","Pacific crown toby"
6541,"Canthigaster bennetti","Bennett's sharpnose puffer"
12770,"Canthigaster callisterna","Clown toado"
61212,"Canthigaster capistrata","Macaronesian sharpnose-puffer"
6542,"Canthigaster compressa","Compressed toby"
7845,"Canthigaster coronata","Crowned puffer"
7846,"Canthigaster epilampra","Lantern toby"
61201,"Canthigaster figueiredoi","Southern Atlantic sharpnose-puffer"
7844,"Canthigaster jactator","Hawaiian whitespotted toby"
6543,"Canthigaster janthinoptera","Honeycomb toby"
12778,"Canthigaster margaritata", 
12684,"Canthigaster ocellicincta","Shy toby"
55072,"Canthigaster papua","Papuan toby"
14159,"Canthigaster punctatissima","Spotted sharpnosed puffer"
6668,"Canthigaster rivulata","Brown-lined puffer"
4291,"Canthigaster rostrata","Caribbean sharpnose-puffer"
12768,"Canthigaster smithae","Bicolored toby"
6578,"Canthigaster solandri","Spotted sharpnose"
6544,"Canthigaster valentini","Valentin's sharpnose puffer"
15086,"Caprodon longimanus","Pink maomao"
49232,"Capromimus abbreviatus","Capro dory"
54,"Capros aper","Boarfish"
7873,"Caracanthus maculatus","Spotted coral croucher"
16871,"Caracanthus madagascariensis","Spotted croucher"
52705,"Caracanthus typicus","Hawaiian orbicular velvetfish"
12899,"Caracanthus unipinna","Pygmy coral croucher"
1916,"Carangoides armatus","Longfin trevally"
1923,"Carangoides bajad","Orangespotted trevally"
 ,"Carangoides bartholomaei", 
4441,"Carangoides chrysophrys","Longnose trevally"
1924,"Carangoides coeruleopinnatus","Coastal trevally"
1921,"Carangoides ferdau","Blue trevally"
1907,"Carangoides hedlandensis","Bumpnose trevally"
1914,"Carangoides humerosus","Duskyshoulder trevally"
4443,"Carangoides malabaricus","Malabar trevally"
1912,"Carangoides talamparoides","Imposter trevally"
1900,"Caranx caballus","Green jack"
1901,"Caranx caninus","Pacific crevalle jack"
1898,"Caranx heberi","Blacktip trevally"
1895,"Caranx ignobilis","Giant trevally"
1935,"Caranx latus","Horse-eye jack"
1936,"Caranx lugubris","Black jack"
6360,"Caranx papuensis","Brassy trevally"
1918,"Caranx ruber","Bar jack"
1897,"Caranx senegallus","Senegal jack"
1917,"Caranx sexfasciatus","Bigeye trevally"
